company_name,year,pdf_url_original
기업은행,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_024110_2-1#page=5-6
깨끗한나라,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_004540_2-1#page=13
넥센타이어,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_002350_2-1#page=7
넷마블,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_251270_2-1#page=8,9,96"
대웅제약,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_069620_2-1#page=5,14"
대한항공,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_003490_2-1#page=7
동국홀딩스,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_001230_2-1#page=2,6-9,14"
동아쏘시오홀딩스,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_000640_2-1#page=20
두산,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_000150_2-1#page=8,B"
두산에너빌리티,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_034020_2-1#page=7-8
두산퓨얼셀,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_336260_2-1#page=7
락앤락,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_115390_2-1#page=3
롯데렌탈,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_089860_2-1#page=6-8
롯데쇼핑,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_023530_2-1#page=11
롯데웰푸드,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_280360_2-1#page=19,20"
롯데이노베이트,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_286940_2-1#page=5
롯데정밀화학,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_004000_2-1#page=16
롯데지주,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_004990_2-1#page=85,88-90,97"
롯데칠성음료,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_005300_2-1#page=6
롯데케미칼,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_011170_2-1#page=6,8-9,137"
롯데하이마트,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_071840_2-1#page=5
모나리자,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_012690_2-1#page=6,8,9,10"
미래에셋생명,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_085620_2-1#page=8
보령,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_003850_2-1#page=4
삼성생명,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_032830_2-1#page=7-8
삼성에스디에스,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_018260_2-1#page=2,7,8"
삼성전기,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_009150_2-1#page=6,B"
삼성전자,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_005930_2-1#page=5,6"
삼성중공업,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_010140_2-1#page=8-9
삼성증권,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_016360_2-1#page=8
삼성화재해상보험,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_000810_2-1#page=8
삼양사,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_145990_2-1#page=5
삼양패키징,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_272550_2-1#page=5
삼양홀딩스,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_000070_2-1#page=5
성신양회,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_004980_2-1#page=8
세방,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_004360_2-1#page=7
세방전지,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_004490_2-1#page=6-8
세아베스틸지주,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_001430_2-1#page=6
세아제강,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_306200_2-1#page=6
세아홀딩스,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_058650_2-1#page=6-10
신세계,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_004170_2-1#page=107
신세계I&C,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_035510_2-1#page=6
신한지주,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_055550_2-1#page=5
쌍용씨앤이,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_003410_2-1#page=8-10
에스엘,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_005850_2-1#page=18
에스케이바이오팜,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_326030_2-1#page=6-7,69"
엔씨소프트,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_036570_2-1#page=62
엔에이치엔,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_181710_2-1#page=5
오뚜기,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_007310_2-1#page=7
우리금융지주,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_316140_2-1#page=6,8,10"
유한양행,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_000100_2-1#page=8
이마트,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_139480_2-1#page=8,13"
종근당홀딩스,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_001630_2-1#page=5-9
지역난방공사,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_071320_2-1#page=10
카카오,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_035720_2-1#page=9,82"
카카오뱅크,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_323410_2-1#page=14
카카오페이,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_377300_2-1#page=7,57"
케이씨씨,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_002380_2-1#page=5-7
